cng_(Feet),DISTANCE_FROM_MOUTH,ELEVATION,ADJUSTED_ELEVATION,LONGITUDE,LATITUDE
972,55822.14340,419.16,419.16,-82.123097,33.47297
976,55818.14340,419.16,419.16,-82.123087,33.472978
980,55814.14340,418.49,418.49,-82.123078,33.472986
984,55810.14340,418.81,418.49,-82.123069,33.472994
988,55806.14340,418.81,418.49,-82.12306,33.473001
992,55802.14340,418.83,418.49,-82.12305,33.473009
996,55798.14340,419.41,418.49,-82.123041,33.473017
1000,55794.14340,420.54,418.48,-82.123032,33.473025
1004,55790.14340,420.54,418.48,-82.123022,33.473033
1008,55786.14340,422.19,418.48,-82.123013,33.47304
1012,55782.14340,422.29,418.48,-82.123004,33.473048
1016,55778.14340,420.87,418.48,-82.122999,33.473057
1020,55774.14340,420.87,418.48,-82.122993,33.473063
1024,55770.14340,420.87,418.47,-82.122981,33.473059
1028,55766.14340,419.71,418.47,-82.122972,33.473051
1032,55762.14340,419.92,418.47,-82.122963,33.473043
1036,55758.14340,420.12,418.47,-82.122951,33.473041
1040,55754.14340,420.20,418.47,-82.122938,33.473041
1044,55750.14340,420.18,418.47,-82.122925,33.473041
1048,55746.14340,419.38,418.46,-82.122912,33.473041
1052,55742.14340,420.00,418.46,-82.122899,33.473041
1056,55738.14340,420.00,418.46,-82.122888,33.473035
1060,55734.14340,419.83,418.46,-82.122878,33.47303
1064,55730.14340,419.83,418.46,-82.122865,33.47303
1068,55726.14340,419.80,418.46,-82.122852,33.47303
1072,55722.14340,419.58,418.46,-82.122838,33.47303
1076,55718.14340,419.45,418.45,-82.122825,33.47303
1080,55714.14340,418.75,418.45,-82.122812,33.47303
1084,55710.14340,419.01,418.45,-82.122799,33.47303
1088,55706.14340,418.92,418.45,-82.122786,33.47303
1092,55702.14340,418.87,418.45,-82.122773,33.47303
1096,55698.14340,418.95,418.45,-82.122761,33.473032
1100,55694.14340,418.95,418.44,-82.122751,33.47304
1104,55690.14340,419.13,418.44,-82.122742,33.473047
1108,55686.14340,419.13,418.44,-82.122733,33.473055
1112,55682.14340,418.98,418.44,-82.122724,33.473063
1116,55678.14340,418.99,418.44,-82.122714,33.473071
1120,55674.14340,418.99,418.44,-82.122705,33.473078
1124,55670.14340,418.70,418.43,-82.122692,33.473076
1128,55666.14340,418.68,418.43,-82.122679,33.473075
1132,55662.14340,418.73,418.43,-82.122666,33.473076
1136,55658.14340,418.43,418.43,-82.122653,33.473076
1140,55654.14340,417.95,417.95,-82.122639,33.473077
1144,55650.14340,417.95,417.95,-82.122626,33.473078
1148,55646.14340,418.95,417.95,-82.122613,33.473078
1152,55642.14340,419.61,417.84,-82.1226,33.473077
1156,55638.14340,420.23,417.73,-82.122587,33.473076
1160,55634.14340,419.94,417.62,-82.122574,33.473075
1164,55630.14340,419.88,417.51,-82.122561,33.473074
1168,55626.14340,419.02,417.40,-82.122548,33.473073
1172,55622.14340,417.29,417.29,-82.122535,33.473072
1176,55618.14340,415.57,415.57,-82.122522,33.473071
1180,55614.14340,415.57,415.57,-82.122509,33.47307
1184,55610.14340,415.23,415.23,-82.122496,33.473069
1188,55606.14340,415.00,415.00,-82.122483,33.473068
1192,55602.14340,414.49,414.49,-82.12247,33.473067
1196,55598.14340,414.03,414.03,-82.122457,33.473066
1200,55594.14340,413.90,413.90,-82.122443,33.473065
1204,55590.14340,413.72,413.72,-82.12243,33.473064
1208,55586.14340,413.58,413.58,-82.122417,33.473063
1212,55582.14340,413.58,413.58,-82.122404,33.473062
1216,55578.14340,412.84,412.84,-82.122391,33.473061
1220,55574.14340,412.69,412.69,-82.122378,33.473063
